author,date,href,push,title
donkilling, 4/23,/bbs/movie/M.1650716472.A.8AC.html,9,Re: [討論] 翻字幕的知道現在大家英文不差嗎.
ckny, 4/23,/bbs/movie/M.1650718171.A.6DC.html,3,[LIVE] HBO 21:00 贖罪之路
purue, 4/23,/bbs/movie/M.1650722193.A.105.html,11,[討論] 加菲演最好的蜘蛛人是無家日嗎
ilanalan, 4/23,/bbs/movie/M.1650722434.A.63E.html,1,Re: [負雷] 媽的多重宇宙，新意滿滿但令人失望 
yuizero, 4/23,/bbs/movie/M.1650723797.A.B89.html,3,[負雷]魔神英雄傳 七魂的龍神丸 再會 
neverli, 4/23,/bbs/movie/M.1650726398.A.ADD.html,20,[負雷] 媽的多重宇宙 武媚娘是誰? @NDY是誰?
qpr322, 4/23,/bbs/movie/M.1650727427.A.A34.html,5,[情報] 法國翻拍板《一屍到底》預告公開！獲選坎城影展開幕片
jazy6804, 4/23,/bbs/movie/M.1650728664.A.F44.html,1,[討論] 衛視首播的不可饒恕
filmwalker, 4/23,/bbs/movie/M.1650729013.A.AF2.html,9,[新聞] 《媽的多重宇宙》5人特效團隊怎麼做出穿越
godofsex, 4/24,/bbs/movie/M.1650732191.A.034.html,2,[新聞] 安柏赫德拷貝強尼戴普出庭Style疑心理
lgng66133, 2/14,/bbs/movie/M.1644815102.A.782.html,20,[公告] 2022北美獎季影帝影后猜猜樂活動 至2/25
lgng66133, 2/16,/bbs/movie/M.1644989605.A.02A.html,43,[情報] 2022 香港金像獎 入圍名單&統計&觀看管道
lgng66133, 5/13,/bbs/movie/M.1589355894.A.CDD.html,79,[情報] 近期院線預計重映片單
KENDO777, 4/23,/bbs/movie/M.1650693634.A.85D.html,1,[ 好雷] 媽的多重宇宙
gsp0309099, 4/23,/bbs/movie/M.1650693829.A.68F.html,11,[問片] 有沒有不按規則闖關的電影
neo5277, 4/23,/bbs/movie/M.1650694820.A.BED.html,3,Re: [討論] 黃飛鴻這年代還有誰可以演？
maxgxking, 4/23,/bbs/movie/M.1650695003.A.D0C.html,22,[好雷] 媽的多重宇宙的笑點
bpf1980, 4/23,/bbs/movie/M.1650695320.A.1C2.html,4,[好雷]超吉任務 凱吉回應粉絲的禮物 
godofsex, 4/23,/bbs/movie/M.1650695750.A.710.html,99,[新聞] 強尼戴普簡訊放話要燒安珀赫德 還要侵
realnamyi, 4/23,/bbs/movie/M.1650698326.A.2FF.html,3,[片單] 類似電影求推薦
kenny1300175, 4/23,/bbs/movie/M.1650700083.A.FB8.html,36,[新聞] 凱吉澄清:我的爛片王生涯不像你想的那麼爛
kenny1300175, 4/23,/bbs/movie/M.1650701128.A.4E3.html,6,"[新聞] 相隔25年！尼可拉斯凱吉有望回鍋""變臉2"""
nicholas0406, 4/23,/bbs/movie/M.1650701792.A.BD6.html,8,[討論] 怒火重案說是謝霆鋒救了這電影不為過吧 ?
pandp, 4/23,/bbs/movie/M.1650701991.A.B74.html,4,Re: [討論] 黃飛鴻這年代還有誰可以演？
sonans, 4/23,/bbs/movie/M.1650702899.A.579.html,26,Re: [新聞] 強尼戴普簡訊放話要燒安珀赫德 還要侵
